city,outage_date,duration_hours,affected_customers,cause
Great Falls,10/16/2022,18,25640,Equipment failure
Great Falls,12/12/2022,20,35749,Storm damage
Missoula,11/26/2022,20,69518,Equipment failure
Bozeman,9/4/2022,14,1503,Planned maintenance
Great Falls,11/27/2022,24,60818,Storm damage
Helena,12/19/2022,11,88007,Storm damage
Bozeman,3/8/2022,2,11046,Storm damage
Bozeman,6/21/2022,22,3320,Equipment failure
Billings,5/22/2022,12,52689,Human error
Helena,1/31/2022,18,30946,Planned maintenance
Helena,1/18/2022,11,49896,Equipment failure
Helena,8/20/2022,9,34030,Equipment failure
Billings,7/15/2022,16,42535,Storm damage
Missoula,3/6/2022,23,48604,Planned maintenance
Missoula,3/15/2022,8,60384,Planned maintenance
Helena,2/24/2022,16,53247,Human error
Helena,12/15/2022,12,20077,Planned maintenance
Great Falls,5/6/2022,23,69623,Planned maintenance
Missoula,7/2/2022,10,14998,Human error
Bozeman,6/6/2022,7,38997,Equipment failure
Helena,6/7/2022,12,52033,Equipment failure
Great Falls,10/25/2022,21,87664,Storm damage
Billings,10/17/2022,22,11538,Planned maintenance
Great Falls,1/11/2022,1,43763,Storm damage
Bozeman,11/1/2022,4,31722,Human error
Bozeman,5/23/2022,18,45692,Planned maintenance
Missoula,10/6/2022,19,56647,Storm damage
Bozeman,3/13/2022,14,20959,Human error
Helena,5/9/2022,1,2262,Equipment failure
Billings,10/18/2022,17,49762,Storm damage
Great Falls,5/21/2022,15,12259,Equipment failure
Billings,3/11/2022,23,73221,Human error
Missoula,3/9/2022,22,70028,Storm damage
Missoula,1/22/2022,9,97224,Equipment failure
Great Falls,4/9/2022,12,89009,Planned maintenance
Bozeman,7/20/2022,1,38409,Planned maintenance
Helena,2/5/2022,21,31313,Planned maintenance
Missoula,12/12/2022,16,52695,Human error
Missoula,12/12/2022,2,73021,Planned maintenance
Helena,4/7/2022,17,44632,Equipment failure
Missoula,4/9/2022,8,7112,Human error
Billings,4/3/2022,14,60225,Equipment failure
Great Falls,8/20/2022,18,13580,Human error
Great Falls,8/29/2022,7,42091,Planned maintenance
